<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DSKY,D,20180502,000000,93.0000000,94.0000000,92.8500000,93.5000000,40.440
DSKY,D,20180503,000000,93.3500000,94.3500000,93.2000000,93.5000000,227.460
DSKY,D,20180504,000000,93.6500000,95.1500000,93.6500000,95.1500000,236.040
DSKY,D,20180507,000000,95.1500000,96.1000000,95.0000000,95.4500000,144.280
DSKY,D,20180508,000000,95.2500000,96.0000000,94.5000000,95.9500000,305.990
DSKY,D,20180510,000000,96.0000000,96.9000000,94.9500000,95.7500000,98.520
DSKY,D,20180511,000000,95.7500000,95.7500000,95.0000000,95.2000000,81.710
DSKY,D,20180514,000000,95.6000000,95.6000000,94.8000000,95.1500000,185.160
DSKY,D,20180515,000000,95.9500000,96.3000000,94.3500000,95.3500000,367.940
DSKY,D,20180516,000000,95.8000000,96.0000000,95.0000000,95.9000000,75.650
DSKY,D,20180517,000000,96.2000000,96.9500000,95.4000000,96.2500000,68.950
DSKY,D,20180518,000000,95.9500000,96.6500000,95.8500000,96.6500000,385.860
DSKY,D,20180521,000000,96.5000000,97.3000000,95.9500000,96.8000000,81.200
DSKY,D,20180522,000000,96.6500000,97.5000000,96.0000000,96.9000000,145.090
DSKY,D,20180523,000000,96.0500000,97.0000000,95.4000000,95.4000000,242.750
DSKY,D,20180524,000000,95.9500000,97.3000000,95.0500000,96.5000000,485.550
DSKY,D,20180525,000000,96.5500000,96.9000000,96.1500000,96.5000000,741.110
DSKY,D,20180528,000000,93.2000000,93.8000000,91.5000000,93.1000000,444.700
DSKY,D,20180529,000000,93.4000000,95.6000000,92.8000000,95.3000000,687.370
DSKY,D,20180530,000000,95.0000000,95.7000000,93.5500000,94.8000000,229.460
DSKY,D,20180531,000000,94.9000000,95.3000000,93.8000000,95.0000000,682.750
DSKY,D,20180601,000000,94.6000000,94.7000000,93.8500000,93.9500000,168.600
DSKY,D,20180604,000000,94.4500000,95.0000000,94.0000000,94.9000000,56.250
DSKY,D,20180605,000000,94.5500000,95.3500000,94.0000000,94.0000000,60.520
DSKY,D,20180606,000000,94.1500000,95.3000000,93.8500000,94.4000000,174.640
DSKY,D,20180607,000000,95.0000000,95.0000000,94.1000000,94.1500000,198.720
DSKY,D,20180608,000000,94.1000000,94.9000000,94.0000000,94.0500000,82.670
DSKY,D,20180609,000000,93.7500000,94.8500000,91.6000000,94.6000000,20.530
DSKY,D,20180611,000000,94.5000000,95.1000000,94.0000000,94.4000000,240.970
DSKY,D,20180613,000000,94.3500000,94.7000000,94.1500000,94.1500000,131.550
DSKY,D,20180614,000000,94.3000000,94.5000000,93.8000000,94.0000000,124.260
DSKY,D,20180615,000000,94.0000000,94.5000000,93.3000000,94.5000000,157.810
DSKY,D,20180618,000000,93.4500000,94.4000000,93.0000000,93.5000000,176.600
DSKY,D,20180619,000000,93.1500000,93.8000000,92.5000000,93.5000000,274.200
DSKY,D,20180620,000000,92.7000000,94.0000000,92.5500000,93.6000000,776.890
DSKY,D,20180621,000000,94.0000000,94.0000000,93.3000000,93.8000000,365.920
DSKY,D,20180622,000000,93.9500000,94.0000000,91.2000000,92.5500000,2.030.870
DSKY,D,20180625,000000,93.0000000,93.3000000,92.2500000,92.5000000,74.520
DSKY,D,20180626,000000,92.9000000,93.5000000,92.3000000,92.5000000,94.020
DSKY,D,20180627,000000,92.4000000,92.5000000,91.7500000,92.0000000,104.140
DSKY,D,20180628,000000,91.8000000,92.3000000,91.5500000,91.5500000,122.820
DSKY,D,20180629,000000,92.0000000,92.4000000,91.7500000,92.0000000,313.950
DSKY,D,20180702,000000,92.0000000,92.3000000,90.4500000,91.1000000,276.270
DSKY,D,20180703,000000,91.4000000,93.0000000,90.6500000,93.0000000,118.760
DSKY,D,20180704,000000,91.0000000,92.0000000,90.9000000,90.9500000,89.410
DSKY,D,20180705,000000,90.7500000,91.7000000,90.7000000,91.0000000,266.970
DSKY,D,20180706,000000,90.9000000,91.2000000,90.8000000,91.1000000,189.790
DSKY,D,20180709,000000,91.4000000,91.6500000,91.0000000,91.4000000,149.330
DSKY,D,20180710,000000,91.1000000,92.0000000,91.0000000,91.3500000,1.655.740
DSKY,D,20180711,000000,91.1000000,91.8500000,90.5500000,91.0000000,242.460
DSKY,D,20180712,000000,91.0000000,91.7000000,90.9500000,91.7000000,120.820
DSKY,D,20180713,000000,91.7500000,91.7500000,90.3500000,90.7000000,131.360
DSKY,D,20180716,000000,90.9500000,91.6000000,90.7500000,91.6000000,65.180
DSKY,D,20180717,000000,91.0000000,91.2500000,90.8500000,91.0500000,76.880
DSKY,D,20180718,000000,91.4000000,91.5000000,90.5500000,91.2500000,151.970
DSKY,D,20180719,000000,90.8500000,91.0000000,90.7000000,90.7000000,65.890
DSKY,D,20180720,000000,90.7500000,91.0000000,90.6000000,91.0000000,86.710
DSKY,D,20180723,000000,91.0000000,91.1500000,90.7500000,90.8000000,57.240
DSKY,D,20180724,000000,91.0000000,91.0000000,90.3000000,90.5000000,241.470
DSKY,D,20180725,000000,90.2500000,90.5000000,89.2500000,89.5000000,169.860
DSKY,D,20180726,000000,89.8500000,90.3500000,89.6500000,90.0000000,262.470
DSKY,D,20180727,000000,90.3500000,90.3500000,89.6500000,89.9500000,79.480
DSKY,D,20180730,000000,90.1000000,90.5500000,89.6000000,89.8000000,120.810
DSKY,D,20180731,000000,90.3000000,90.4000000,89.7500000,89.8000000,217.460
DSKY,D,20180801,000000,89.7000000,90.3500000,89.5500000,89.7000000,50.470
DSKY,D,20180802,000000,89.8500000,89.9500000,88.8500000,88.8500000,68.880
DSKY,D,20180803,000000,89.5500000,89.6000000,88.0000000,88.2000000,70.960
DSKY,D,20180806,000000,88.7000000,90.0000000,88.0500000,89.7500000,73.480
DSKY,D,20180807,000000,89.5500000,90.0000000,89.2000000,89.9000000,168.840
DSKY,D,20180808,000000,89.7000000,89.7000000,88.4000000,88.5000000,91.170
DSKY,D,20180809,000000,88.2000000,88.3000000,86.6000000,87.7500000,164.730
DSKY,D,20180810,000000,87.7000000,87.7000000,86.5000000,86.9000000,82.350
DSKY,D,20180813,000000,86.5500000,87.9000000,86.4500000,87.2500000,52.530
DSKY,D,20180814,000000,87.6000000,88.1500000,87.2500000,88.0000000,48.110
DSKY,D,20180815,000000,88.0500000,88.0500000,86.6500000,86.8500000,35.350
DSKY,D,20180816,000000,86.8500000,87.4500000,86.5500000,86.7500000,50.550
DSKY,D,20180817,000000,86.4500000,86.5500000,84.0500000,84.8500000,267.210
DSKY,D,20180820,000000,85.0000000,85.5000000,84.5500000,85.1000000,65.900
DSKY,D,20180821,000000,86.0500000,88.1000000,85.8000000,87.6500000,328.820
