<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20180502,000000,145.3300000,145.7700000,143.9600000,144.9400000,16.008.500
GAZP,D,20180503,000000,144.6500000,146.1500000,142.7000000,142.7000000,23.992.750
GAZP,D,20180504,000000,143.4000000,144.2000000,143.0900000,143.7300000,11.726.530
GAZP,D,20180507,000000,144.5700000,145.1000000,143.4500000,144.0500000,9.382.400
GAZP,D,20180508,000000,143.7800000,145.4800000,143.1600000,145.4800000,18.282.910
GAZP,D,20180510,000000,145.9800000,147.1500000,145.5700000,146.3800000,24.103.610
GAZP,D,20180511,000000,146.4800000,151.1000000,146.4700000,150.7000000,44.778.970
GAZP,D,20180514,000000,151.2700000,151.2700000,148.0300000,150.9800000,27.828.900
GAZP,D,20180515,000000,150.4800000,150.7000000,148.0000000,149.2000000,29.085.690
GAZP,D,20180516,000000,148.6000000,150.7000000,148.1100000,148.5900000,43.775.810
GAZP,D,20180517,000000,149.1500000,149.3600000,147.1500000,147.1500000,19.160.740
GAZP,D,20180518,000000,147.2000000,147.8800000,145.1900000,145.6500000,21.435.990
GAZP,D,20180521,000000,146.0000000,148.2000000,145.9000000,146.7600000,16.198.700
GAZP,D,20180522,000000,146.9700000,147.6000000,146.4200000,146.5000000,13.141.580
GAZP,D,20180523,000000,146.1800000,146.9400000,144.8800000,146.0600000,19.430.340
GAZP,D,20180524,000000,146.3000000,147.1500000,144.9300000,145.2700000,20.556.400
GAZP,D,20180525,000000,145.6300000,146.3000000,144.3600000,145.0900000,18.117.740
GAZP,D,20180528,000000,145.4100000,145.7500000,144.7500000,145.0900000,6.573.030
GAZP,D,20180529,000000,145.5800000,145.6100000,142.8800000,143.9000000,17.528.460
GAZP,D,20180530,000000,144.0000000,144.8200000,142.5200000,143.2600000,21.823.420
GAZP,D,20180531,000000,143.3000000,145.2100000,143.3000000,145.0000000,33.892.130
GAZP,D,20180601,000000,144.5800000,145.5000000,143.5500000,144.0000000,17.487.300
GAZP,D,20180604,000000,144.5300000,146.9000000,144.5100000,146.4400000,12.800.360
GAZP,D,20180605,000000,146.5300000,146.5400000,145.2200000,146.0000000,12.693.440
GAZP,D,20180606,000000,146.3500000,146.9000000,145.5300000,146.9000000,17.153.970
GAZP,D,20180607,000000,147.1000000,147.5000000,146.0000000,146.0500000,12.295.670
GAZP,D,20180608,000000,145.9600000,146.7500000,143.0500000,143.0500000,24.404.680
GAZP,D,20180609,000000,143.3100000,144.1500000,143.3000000,144.0800000,1.555.190
GAZP,D,20180611,000000,144.0300000,144.1800000,141.5600000,142.2800000,12.697.170
GAZP,D,20180613,000000,142.5800000,142.7800000,140.6300000,141.0000000,23.488.110
GAZP,D,20180614,000000,140.8800000,141.4400000,139.1400000,139.4000000,24.957.760
GAZP,D,20180615,000000,139.7000000,140.8700000,137.6400000,137.7300000,42.377.140
GAZP,D,20180618,000000,138.0800000,138.3000000,136.0000000,136.5200000,23.017.780
GAZP,D,20180619,000000,136.0100000,136.2800000,132.8600000,135.5000000,36.367.180
GAZP,D,20180620,000000,136.5000000,138.5000000,136.0000000,136.9100000,27.041.950
GAZP,D,20180621,000000,136.6000000,137.9000000,134.0400000,134.4000000,28.718.050
GAZP,D,20180622,000000,135.0000000,137.5500000,135.0000000,136.7600000,23.927.070
GAZP,D,20180625,000000,136.5800000,138.4400000,136.5500000,137.1000000,17.165.720
GAZP,D,20180626,000000,137.4400000,138.8800000,137.3600000,138.0700000,13.703.080
GAZP,D,20180627,000000,138.0100000,139.8500000,137.0700000,139.0000000,18.905.710
GAZP,D,20180628,000000,138.9800000,140.3300000,138.3500000,138.7600000,22.645.070
GAZP,D,20180629,000000,139.3200000,141.0100000,139.1700000,141.0100000,25.801.410
GAZP,D,20180702,000000,140.8300000,144.2000000,140.0700000,144.0000000,25.199.530
GAZP,D,20180703,000000,144.1000000,144.2000000,141.9500000,142.4900000,15.018.610
GAZP,D,20180704,000000,142.4000000,143.1300000,141.8700000,142.2400000,6.350.590
GAZP,D,20180705,000000,142.1700000,145.5500000,141.6400000,145.5500000,19.505.580
GAZP,D,20180706,000000,145.7000000,145.7000000,143.5700000,144.9600000,17.150.670
GAZP,D,20180709,000000,145.7500000,148.1000000,145.5300000,148.0000000,17.769.380
GAZP,D,20180710,000000,148.1300000,148.3700000,146.4200000,147.3000000,18.078.220
GAZP,D,20180711,000000,146.7600000,146.7600000,143.8500000,144.7700000,23.479.310
GAZP,D,20180712,000000,144.7100000,145.7000000,143.5000000,145.0800000,19.613.720
GAZP,D,20180713,000000,145.3200000,146.8700000,144.8700000,146.8700000,13.522.800
GAZP,D,20180716,000000,146.7900000,148.9800000,146.1300000,147.0000000,25.861.000
GAZP,D,20180717,000000,146.5900000,146.7300000,144.1500000,145.3100000,25.684.080
GAZP,D,20180718,000000,138.8600000,138.9900000,137.4500000,138.2900000,28.361.940
GAZP,D,20180719,000000,138.3900000,138.6600000,136.8500000,137.5800000,18.326.290
GAZP,D,20180720,000000,137.5300000,138.0000000,136.4200000,136.4700000,18.700.220
GAZP,D,20180723,000000,136.5800000,139.2200000,136.5800000,138.3700000,17.901.510
GAZP,D,20180724,000000,138.5700000,139.7000000,137.9200000,138.8500000,13.396.020
GAZP,D,20180725,000000,138.0800000,138.8800000,137.6400000,138.2100000,13.601.850
GAZP,D,20180726,000000,138.8400000,139.1700000,137.7400000,138.1800000,10.795.300
