<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,20180502,000000,4.155.0000000,4.206.0000000,4.141.0000000,4.141.0000000,577.685
LKOH,D,20180503,000000,4.136.5000000,4.160.5000000,4.068.0000000,4.068.0000000,712.695
LKOH,D,20180504,000000,4.089.5000000,4.128.0000000,4.080.5000000,4.108.0000000,558.863
LKOH,D,20180507,000000,4.119.5000000,4.176.0000000,4.112.0000000,4.121.0000000,297.022
LKOH,D,20180508,000000,4.110.0000000,4.180.0000000,4.086.5000000,4.180.0000000,693.220
LKOH,D,20180510,000000,4.225.0000000,4.288.0000000,4.209.5000000,4.235.0000000,900.266
LKOH,D,20180511,000000,4.250.0000000,4.383.0000000,4.236.0000000,4.383.0000000,950.014
LKOH,D,20180514,000000,4.373.0000000,4.407.5000000,4.322.5000000,4.407.5000000,814.347
LKOH,D,20180515,000000,4.379.5000000,4.404.0000000,4.355.0000000,4.392.0000000,860.313
LKOH,D,20180516,000000,4.380.5000000,4.418.0000000,4.347.5000000,4.410.0000000,758.822
LKOH,D,20180517,000000,4.409.0000000,4.430.5000000,4.354.0000000,4.354.0000000,672.611
LKOH,D,20180518,000000,4.360.0000000,4.450.0000000,4.354.5000000,4.450.0000000,765.700
LKOH,D,20180521,000000,4.442.0000000,4.453.5000000,4.398.5000000,4.398.5000000,497.963
LKOH,D,20180522,000000,4.408.0000000,4.414.5000000,4.337.0000000,4.360.0000000,749.297
LKOH,D,20180523,000000,4.338.0000000,4.338.5000000,4.251.5000000,4.263.0000000,789.928
LKOH,D,20180524,000000,4.283.0000000,4.298.5000000,4.230.0000000,4.230.0000000,566.271
LKOH,D,20180525,000000,4.246.5000000,4.281.5000000,4.206.0000000,4.248.0000000,766.496
LKOH,D,20180528,000000,4.252.0000000,4.300.5000000,4.217.0000000,4.290.0000000,299.236
LKOH,D,20180529,000000,4.297.0000000,4.298.5000000,4.163.0000000,4.224.0000000,839.202
LKOH,D,20180530,000000,4.220.5000000,4.268.0000000,4.181.5000000,4.246.5000000,695.064
LKOH,D,20180531,000000,4.255.0000000,4.262.0000000,4.157.5000000,4.209.0000000,1.514.501
LKOH,D,20180601,000000,4.200.5000000,4.258.0000000,4.180.5000000,4.205.5000000,749.537
LKOH,D,20180604,000000,4.224.5000000,4.304.5000000,4.224.5000000,4.299.0000000,747.434
LKOH,D,20180605,000000,4.297.5000000,4.313.5000000,4.248.5000000,4.278.0000000,1.061.031
LKOH,D,20180606,000000,4.285.0000000,4.285.0000000,4.212.5000000,4.264.5000000,523.800
LKOH,D,20180607,000000,4.270.0000000,4.292.0000000,4.250.0000000,4.250.0000000,517.950
LKOH,D,20180608,000000,4.235.0000000,4.282.5000000,4.159.5000000,4.159.5000000,939.614
LKOH,D,20180609,000000,4.172.5000000,4.198.0000000,4.168.5000000,4.193.0000000,52.580
LKOH,D,20180611,000000,4.194.0000000,4.199.5000000,4.140.0000000,4.159.5000000,301.376
LKOH,D,20180613,000000,4.181.5000000,4.208.5000000,4.140.0000000,4.140.0000000,771.934
LKOH,D,20180614,000000,4.123.0000000,4.136.0000000,4.083.0000000,4.090.0000000,564.758
LKOH,D,20180615,000000,4.102.5000000,4.137.0000000,4.053.0000000,4.055.0000000,1.592.254
LKOH,D,20180618,000000,4.039.0000000,4.082.0000000,4.018.0000000,4.045.5000000,576.631
LKOH,D,20180619,000000,4.031.0000000,4.108.5000000,4.006.0000000,4.091.0000000,833.354
LKOH,D,20180620,000000,4.106.0000000,4.161.5000000,4.097.5000000,4.132.0000000,792.489
LKOH,D,20180621,000000,4.135.0000000,4.171.5000000,4.117.5000000,4.135.0000000,693.357
LKOH,D,20180622,000000,4.155.0000000,4.189.0000000,4.125.0000000,4.125.0000000,672.993
LKOH,D,20180625,000000,4.113.0000000,4.167.5000000,4.110.0000000,4.140.0000000,489.174
LKOH,D,20180626,000000,4.151.0000000,4.173.0000000,4.128.0000000,4.154.0000000,420.364
LKOH,D,20180627,000000,4.173.5000000,4.259.0000000,4.172.0000000,4.222.0000000,592.971
LKOH,D,20180628,000000,4.220.0000000,4.272.0000000,4.212.5000000,4.230.5000000,677.872
LKOH,D,20180629,000000,4.255.0000000,4.355.0000000,4.250.5000000,4.350.0000000,1.011.367
LKOH,D,20180702,000000,4.339.0000000,4.401.0000000,4.319.5000000,4.376.0000000,853.290
LKOH,D,20180703,000000,4.366.0000000,4.393.0000000,4.322.0000000,4.325.0000000,549.349
