<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,D,20180502,000000,764.0000000,765.2000000,755.6000000,758.2000000,568.420
NVTK,D,20180503,000000,755.5000000,762.0000000,740.5000000,748.4000000,682.070
NVTK,D,20180504,000000,750.8000000,765.7000000,750.2000000,765.7000000,574.520
NVTK,D,20180507,000000,766.0000000,771.5000000,750.0000000,754.0000000,624.680
NVTK,D,20180508,000000,755.0000000,758.0000000,746.0000000,754.0000000,783.930
NVTK,D,20180510,000000,759.0000000,766.0000000,754.9000000,765.0000000,790.960
NVTK,D,20180511,000000,766.7000000,778.7000000,764.4000000,769.5000000,1.103.160
NVTK,D,20180514,000000,767.4000000,778.0000000,766.5000000,774.3000000,613.910
NVTK,D,20180515,000000,774.4000000,779.5000000,768.5000000,772.2000000,915.010
NVTK,D,20180516,000000,772.7000000,778.5000000,766.9000000,768.3000000,720.630
NVTK,D,20180517,000000,770.1000000,774.4000000,768.1000000,770.6000000,507.740
NVTK,D,20180518,000000,771.1000000,776.0000000,767.0000000,772.8000000,563.240
NVTK,D,20180521,000000,776.5000000,782.7000000,773.1000000,775.1000000,593.100
NVTK,D,20180522,000000,777.3000000,778.1000000,766.5000000,770.0000000,510.270
NVTK,D,20180523,000000,768.3000000,769.8000000,757.7000000,761.3000000,527.950
NVTK,D,20180524,000000,761.4000000,763.5000000,752.3000000,757.2000000,750.260
NVTK,D,20180525,000000,759.9000000,812.8000000,759.9000000,808.1000000,2.858.440
NVTK,D,20180528,000000,805.4000000,807.4000000,795.6000000,802.5000000,667.900
NVTK,D,20180529,000000,802.0000000,832.6000000,800.2000000,825.4000000,2.034.400
NVTK,D,20180530,000000,821.2000000,830.3000000,820.0000000,821.2000000,1.345.590
NVTK,D,20180531,000000,823.2000000,845.0000000,822.3000000,838.2000000,1.380.550
NVTK,D,20180601,000000,839.0000000,843.6000000,831.8000000,838.4000000,962.430
NVTK,D,20180604,000000,838.4000000,846.3000000,836.6000000,841.0000000,523.950
