<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PHOR,D,20180502,000000,2.487.0000000,2.523.0000000,2.461.0000000,2.522.0000000,15.877
PHOR,D,20180503,000000,2.516.0000000,2.522.0000000,2.476.0000000,2.476.0000000,7.271
PHOR,D,20180504,000000,2.492.0000000,2.509.0000000,2.453.0000000,2.490.0000000,14.564
PHOR,D,20180507,000000,2.483.0000000,2.500.0000000,2.473.0000000,2.475.0000000,11.546
PHOR,D,20180508,000000,2.475.0000000,2.488.0000000,2.430.0000000,2.487.0000000,18.129
PHOR,D,20180510,000000,2.481.0000000,2.505.0000000,2.446.0000000,2.446.0000000,36.366
PHOR,D,20180511,000000,2.457.0000000,2.486.0000000,2.430.0000000,2.430.0000000,10.996
PHOR,D,20180514,000000,2.441.0000000,2.471.0000000,2.419.0000000,2.451.0000000,14.990
PHOR,D,20180515,000000,2.442.0000000,2.461.0000000,2.417.0000000,2.427.0000000,14.678
PHOR,D,20180516,000000,2.428.0000000,2.466.0000000,2.402.0000000,2.420.0000000,25.470
PHOR,D,20180517,000000,2.425.0000000,2.437.0000000,2.401.0000000,2.423.0000000,20.835
PHOR,D,20180518,000000,2.414.0000000,2.422.0000000,2.403.0000000,2.410.0000000,22.469
PHOR,D,20180521,000000,2.418.0000000,2.433.0000000,2.393.0000000,2.406.0000000,24.999
PHOR,D,20180522,000000,2.413.0000000,2.413.0000000,2.271.0000000,2.313.0000000,118.201
PHOR,D,20180523,000000,2.313.0000000,2.316.0000000,2.269.0000000,2.301.0000000,60.035
PHOR,D,20180524,000000,2.302.0000000,2.332.0000000,2.286.0000000,2.332.0000000,24.128
PHOR,D,20180525,000000,2.331.0000000,2.353.0000000,2.301.0000000,2.329.0000000,40.579
PHOR,D,20180528,000000,2.339.0000000,2.375.0000000,2.338.0000000,2.370.0000000,16.861
PHOR,D,20180529,000000,2.373.0000000,2.382.0000000,2.336.0000000,2.347.0000000,37.114
PHOR,D,20180530,000000,2.351.0000000,2.445.0000000,2.320.0000000,2.320.0000000,89.927
PHOR,D,20180531,000000,2.333.0000000,2.360.0000000,2.302.0000000,2.322.0000000,26.578
PHOR,D,20180601,000000,2.335.0000000,2.338.0000000,2.315.0000000,2.331.0000000,8.985
PHOR,D,20180604,000000,2.341.0000000,2.351.0000000,2.327.0000000,2.345.0000000,14.288
PHOR,D,20180605,000000,2.344.0000000,2.359.0000000,2.316.0000000,2.328.0000000,20.513
PHOR,D,20180606,000000,2.317.0000000,2.338.0000000,2.303.0000000,2.319.0000000,22.493
PHOR,D,20180607,000000,2.319.0000000,2.322.0000000,2.266.0000000,2.306.0000000,19.129
PHOR,D,20180608,000000,2.302.0000000,2.316.0000000,2.289.0000000,2.300.0000000,61.696
PHOR,D,20180609,000000,2.313.0000000,2.316.0000000,2.291.0000000,2.300.0000000,4.167
PHOR,D,20180611,000000,2.294.0000000,2.315.0000000,2.288.0000000,2.315.0000000,6.158
PHOR,D,20180613,000000,2.314.0000000,2.333.0000000,2.310.0000000,2.322.0000000,13.887
PHOR,D,20180614,000000,2.314.0000000,2.323.0000000,2.288.0000000,2.298.0000000,35.909
PHOR,D,20180615,000000,2.296.0000000,2.332.0000000,2.291.0000000,2.296.0000000,40.567
PHOR,D,20180618,000000,2.299.0000000,2.299.0000000,2.259.0000000,2.295.0000000,30.680
PHOR,D,20180619,000000,2.297.0000000,2.315.0000000,2.263.0000000,2.315.0000000,39.347
PHOR,D,20180620,000000,2.308.0000000,2.330.0000000,2.262.0000000,2.285.0000000,32.650
PHOR,D,20180621,000000,2.288.0000000,2.298.0000000,2.270.0000000,2.286.0000000,22.202
PHOR,D,20180622,000000,2.280.0000000,2.316.0000000,2.269.0000000,2.291.0000000,28.642
